entity,as_of,population,current_census_median,projected_peak_median,projected_peak_p90,projected_peak_per_100k,benchmark_peak,benchmark_per_100k,benchmark_usable,utilisation_median,prob_exceed_benchmark,lead_time_days,lead_time_days_p25,horizon
South Africa,2020-10-25,59893884.0,120.08969347274731,245.82259019119897,434.60550076953797,0.4104302038438498,873.875339367652,1.4590393559510217,True,0.28130166754571595,0.0,,,21
Guatemala,2020-10-25,17843914.0,41.9871975401183,68.50964370397472,118.6325858075954,0.38393843247605164,87.6881562304826,0.4914177250040692,False,,,,,21
Uruguay,2020-10-25,3422796.0,1.6950229216811747,12.560795385662981,25.16355029886298,0.3669747009656135,1.6950229216811747,0.049521587663453354,False,,,,,21
Kenya,2020-10-25,54027484.0,22.199662952505342,183.22356331944496,367.17188759356594,0.3391302902786385,47.5025213749369,0.0879228826849255,False,,,,,21
Trinidad and Tobago,2020-10-25,1531043.0,3.9009933643075634,4.92655345659977,8.489931850529958,0.3217776023664763,7.978720192285172,0.5211297260942489,False,,,,,21
Jamaica,2020-10-25,2827382.0,8.802356221707317,8.641110639164506,14.14195159491554,0.30562232620723007,11.21818554601225,0.39676936282441677,False,,,,,21
Myanmar,2020-10-25,54179312.0,86.38013251370734,164.46603063739167,285.47763847258534,0.3035587285371798,86.95776883386911,0.16049995030182204,False,,,,,21
El Salvador,2020-10-25,6336393.0,10.809129390753089,18.407142780028643,30.784264176905083,0.2904987550492629,30.825265539971436,0.486479698149585,False,,,,,21
Namibia,2020-10-25,2567024.0,4.835087812652377,7.197589518342949,12.494278811059173,0.2803865300185331,15.877081420921147,0.6185014795701618,False,,,,,21
New Zealand,2020-10-25,5185289.0,0.1895004881016274,14.381044608519787,37.85410846976331,0.27734316464366376,3.256965458149702,0.06281164768539808,False,,,,,21
Mauritius,2020-10-25,1299478.0,0.12260549054795986,3.1924345649405566,7.235516698357884,0.2456705357797944,1.0033559049580623,0.07721222713720911,False,,,,,21
Kazakhstan,2020-10-25,19397998.0,19.521588742283686,44.30299134888007,78.87425613664662,0.22838950364300517,154.06061034192885,0.7942088165073986,False,,,,,21
Bolivia,2020-10-25,12224114.0,25.213749636271636,24.091696750389097,40.02754038460601,0.19708337757966835,117.69735728962627,0.9628293493469242,False,,,,,21
Venezuela,2020-10-25,28301700.0,54.5169027493398,53.20096014463451,87.69329756670638,0.18797796649895415,78.32325687791881,0.27674400081238515,False,,,,,21
Philippines,2020-10-25,115559008.0,197.9625094129612,215.19517225148488,343.5030338237104,0.1862210276601586,315.0822449941845,0.2726591811814312,False,,,,,21
Indonesia,2020-10-25,275501344.0,318.54959638070284,497.9039616428502,858.2931496738931,0.18072650913922592,324.1311960201033,0.11765140282586181,False,,,,,21
Cuba,2020-10-25,11212198.0,2.7857794636870246,16.428269942679812,33.23809631807535,0.14652140412325768,4.160379680723004,0.037105834919460075,False,,,,,21
Saudi Arabia,2020-10-25,36408824.0,34.4498435848199,46.62197047429505,77.84125241875641,0.12805129458258538,290.4035745371556,0.7976186611716862,False,,,,,21
Angola,2020-10-25,35588996.0,10.08233051684343,44.27602754717921,84.04481118231368,0.12440931895684612,10.08233051684343,0.028329909944195753,False,,,,,21
Eswatini,2020-10-25,1201680.0,1.4014444539338364,1.4019523730182695,2.2470806233129483,0.11666603197342633,5.738369576019377,0.4775289241744372,False,,,,,21
Bangladesh,2020-10-25,171186368.0,109.84026022524358,190.4053458387164,330.21001975985075,0.11122693241480326,269.74699783562846,0.1575750458328717,False,,,,,21
Mozambique,2020-10-25,32969520.0,10.726138276489142,35.767374354309496,68.28586377345071,0.10848618467696677,13.462769827114922,0.04083398795953026,False,,,,,21
Algeria,2020-10-25,44903228.0,12.582441447414773,32.90153014335499,58.61676579885976,0.07327208222837564,44.3965985650263,0.09887173048010336,False,,,,,21
Japan,2020-10-25,123951696.0,39.54296472640782,75.39520555970583,131.3402683889801,0.06082627990802629,89.00737959483328,0.07180811757092317,False,,,,,21
Ethiopia,2020-10-25,123379928.0,57.303787834328375,73.38112919508008,121.52685444744314,0.05947574324656769,101.02153003581299,0.08187841545491337,False,,,,,21
Tajikistan,2020-10-25,9952789.0,3.123835338528819,5.3290722279188305,9.229084705259794,0.05354350652785697,11.32835013923162,0.11382086105946404,False,,,,,21
Afghanistan,2020-10-25,41128772.0,3.7000512536916013,20.814631982858625,40.4494233782621,0.05060844506336981,50.69613818127082,0.12326197869771269,False,,,,,21
Pakistan,2020-10-25,235824864.0,46.98052938960248,95.98819679157006,169.69617771446028,0.0407031706341067,374.98685884008694,0.15901073893552078,False,,,,,21
Togo,2020-10-25,8848700.0,1.1127171994451321,3.4822028560766087,6.33658805714547,0.039352705550833554,1.283630568285537,0.014506431094799653,False,,,,,21
Zimbabwe,2020-10-25,16320539.0,1.3148786421890306,5.9330142793675495,11.753365628910817,0.036353053531917964,10.65186989005575,0.06526665504157521,False,,,,,21
Singapore,2020-10-25,5637022.0,0.9289845821918166,1.9969393730862945,3.8512099202969363,0.03542543160353631,55.47394626327627,0.9841002263832973,False,,,,,21
Uganda,2020-10-25,47249588.0,11.28646924417352,16.631401007577672,28.835678092417346,0.03519903921189254,14.096654721046994,0.02983445002958966,False,,,,,21
Zambia,2020-10-25,20017670.0,4.697953902011207,5.497098393999719,9.013837669300418,0.027461229973317174,17.283671042102846,0.08634207198991115,False,,,,,21
Guinea,2020-10-25,13859349.0,3.4409199732716145,3.596625398602661,5.744685322417344,0.02595089710636958,5.985964003322014,0.043190802131629805,False,,,,,21
South Korea,2020-10-25,51815808.0,6.213690972091669,13.263537892267834,23.444168763974048,0.025597473829353068,26.58707931484428,0.051310749250198476,False,,,,,21
Syria,2020-10-25,22125242.0,3.631092590688897,5.540399629792226,9.257770479616644,0.02504108036328925,5.398570581778618,0.02440005212950266,False,,,,,21
Egypt,2020-10-25,110990096.0,9.502810286016267,27.173634574874118,49.102139128387925,0.024482936364767286,113.98437687965614,0.10269779105304688,False,,,,,21
Gabon,2020-10-25,2388997.0,0.5072760581060545,0.5814932424405866,0.9176079951774118,0.024340476042480866,8.042970694645899,0.3366672580436852,False,,,,,21
Mauritania,2020-10-25,4736146.0,0.5968085342561753,1.1148371395692718,1.959251883079291,0.023538909897821387,11.149958899456113,0.23542261787233992,False,,,,,21
Haiti,2020-10-25,11585003.0,0.8879295402936143,2.678777102753862,5.113389982135036,0.023122800250926667,11.505991455199599,0.09931798425256859,False,,,,,21
Cameroon,2020-10-25,27914542.0,2.6137255248077267,5.999921742650272,10.716193212512879,0.021493892834244858,20.69801541863184,0.07414778798316604,False,,,,,21
Equatorial Guinea,2020-10-25,1674916.0,0.16707695105066206,0.31500075578152664,0.6119370828837405,0.0188069584254689,5.406367107838845,0.3227843729380366,False,,,,,21
Ghana,2020-10-25,33475870.0,3.5068377898009198,5.5359062363421705,9.483394926573663,0.01653700482270415,48.40915315494351,0.14460909650725587,False,,,,,21
Senegal,2020-10-25,17316452.0,2.0551152436853366,2.7924597956269492,4.84201449361856,0.01612605050749974,9.640174841112032,0.05567061220804372,False,,,,,21
Nicaragua,2020-10-25,6948395.0,0.8714221570552287,1.1113282168391092,1.853550140889896,0.015994027640039307,4.523152611795577,0.06509636558939981,False,,,,,21
